discord_name,psn_id,race_number
Viperzed,,
CaptainRisky21,,
Half-Byte,Half-Byte,21
Selduin,Selduin,81
Snorxal,S2T_Snorxal,39
AUSnicko9,AUSnicko9,91
kiwi_kart_racer9,kiwi_kart_racer9,98
Whizz94,Whizz94,26
bananajosh1,GT_bananajosh1,28
E.Presley101,,
Zac_l98,DrGastroBoy,20
Schumojo13,Schumojo13,77
LordFaquaad521,,
Dash_Vanguard,Dash_Vanguard,383
AverageDAD,LuckyDenverM1nt,33
Muzzie_013,Muzzie_013,45
DRZ-Hatfield,DRZ-Hatfield,3
BKXI,BKXI,11
Kieran-B33,TacticalHomework,76
Rangeraus,Rangeraus,82
kaladin,kaladin501,164
Johnoclint,,
UrsineSaturn9,UrsineSaturn9,42
T F Eccles,tfeccles,52
Matt Simmons,MINT_Matt,8
Natalie WA,Nat_WA,275
Danimal (danimal_242),danimal_242,24
anders_race,anders_race,90
Josh Nightingale,LOW_NZ,22
Charliechops,Mr_Charlie_chops,34
JC_Blaize,JC_Blaize,212
Steve_73_GOOF,Steve_73_GOOF,73
RPEEM808,RPeeM808,809
Arnoldwa,,
Selraf,Selraf,65
evilmoon,X-3vi1m00n,88
Gregzilla1971,,
XtendedWarranty,,
Stinky,StinkyTaylor,62
Beats,Beats143,62
Redlee (Privateer,,
Donsflyup,wait6moreseconds,93
RA-A_Hatchy,Hatchy3_,3
RBRHoges97,RBRHoges97,97
Wolfy1961,,
warrior2167,warrior2167,25
T-GT Racing,T-GT_Racing,44
Easyprey007,Easyprey007,63
Matt Dernedde,ohDennn,50
Ozglenn,ozglenn0513,13
Britz lightning55,Britz lightning55,55
JimothyPayload,,
DJ ãƒ„,TheDJMaster55,55
Btwong,,
Blunty075,,
HBMotorNZ,,
blambo,blambozor,94
rockynz,rockynz,23
seowster,seowsterAUS,27
doodah27,doodah27,27
Vert Wheeler 07,VertWheeler07,07
Pubs16,SR_Pubs16,61
Greeny,Greenysimracing,36
Scozzii,SC0BBI1,115
Emmo46,,
Easty,jkeast,49
ragguoc,ragguoc,165
Anon666,Anon666HURT,66
dani249,walmar_anolso14,12
nuff6969,The_Lost2 (5 underscores),69
Heefy82,,
BIL,King_Kabe17,007
AMS_Andrew,,
pokeeetus,Tanqr7286,44
tolley,tolley,28
k.oh.dee,Nik_Makozi,7
Social-Shocker5,,
TimAnt46,TimAnt_46,22
Savage Duck,Savage_Duck_75,67
slarty,slartybar,101
ridwanf1,RidwanF1,14
Sidawg2,,
Tube-nvnz  ðŸ‡³ðŸ‡¿ ðŸ‡¿ðŸ‡¦,Nvnz-tube,589
JellyMechanic,,
lagoon_j,Lagoon_j,47
Waterarrow,CP_Waterarrow,6
BananaCakePie,,
B.Purton (Purts91),Purts91,91?
ReignOfFire87,,
Randm90,,
